City	State	Lat	Long	AccuKey	NWS_Grid	Zip_Code	Zip_Ext
Blacksburg	VA	37.2296	-80.4139	331254	RNK/57,65	24060	3947
Miami	FL	25.7617	-80.1918	347936	MFL/109,49	33131	3234
New_York	NY	40.7128	-74.0059	2627461	OKX/32,34	10007	1204
Washington	DC	38.9072	-77.0369	2628404	LWX/95,71	20036	2273
San_Francisco	CA	37.7749	-122.4194	332018	MTR/88,126	94103	1209
Seattle	WA	47.6062	-122.3321	2628285	SEW/124,67	98164	2005
Lebanon	KS	39.8097	-98.5556	2137095	GID/58,32	66952	5503
Chicago	IL	41.8781	-87.6298	2626578	LOT/75,72	60604	3598
Salt_Lake_City	UT	40.7608	-111.891	331216	SLC/99,174	84111	2728
Honolulu	HI	21.3069	-157.8583	348211	HFO/153,144	96813	2900
Juneau	AK	58.3019	-134.4197	331728	AJK/195,164	99801	1806
Houston	TX	29.7604	-95.3698	351197	HGX/64,96	77002	2049
Tampa	FL	27.9506	-82.4572	347937	TBW/70,97	33602	6004
Boston	MA	42.3601	-71.0589	348735	BOX/70,76	02201	1001
